Vercel CLI 41.4.1
Fetching aliases under saicharans-projects-82a4278f
> aliases found under saicharans-projects-82a4278f [640ms]
  source                                                      url                                                                         age    
  das-6wpdoojzn-saicharans-projects-82a4278f.vercel.app       das-h-saicharans-projects-82a4278f.vercel.app                                1h    
  das-6wpdoojzn-saicharans-projects-82a4278f.vercel.app       das-h-lagishettysaicharan3-9386-saicharans-projects-82a4278f.vercel.app      1h    
  das-6wpdoojzn-saicharans-projects-82a4278f.vercel.app       das-h-peach.vercel.app                                                       1h    
  server-fxt52rfqf-saicharans-projects-82a4278f.vercel.app    server-saicharans-projects-82a4278f.vercel.app                               2h    
  server-fxt52rfqf-saicharans-projects-82a4278f.vercel.app    server-lagishettysaicharan3-9386-saicharans-projects-82a4278f.vercel.app     2h    
  server-fxt52rfqf-saicharans-projects-82a4278f.vercel.app    server-sand-kappa-36.vercel.app                                              2h    
  client-yl2658ese-saicharans-projects-82a4278f.vercel.app    client-lagishettysaicharan3-9386-saicharans-projects-82a4278f.vercel.app     7d    
  client-yl2658ese-saicharans-projects-82a4278f.vercel.app    client-saicharans-projects-82a4278f.vercel.app                               7d    
  client-yl2658ese-saicharans-projects-82a4278f.vercel.app    client-dusky-xi.vercel.app                                                   7d    

